LanguageData,AvgRank
Java-BitSet,1.36111111111111
CSharp-BitVector,2.66666666666667
C-BitString,3.64864864864865
Rust-BitVector,4
Go-BitVector,4.22222222222222
perl5.20-BitString,6.25
node-BitString,6.45945945945946
PHP-BitString,6.66666666666667
Scala-BitVector,7.5
perl5.22-BitString,7.75
perlsimple-BitString,7.95833333333333
julia-BitString,9.22222222222222
C++-BitString,9.2972972972973
lua-BitString,9.62857142857143
Scala-BitString,9.7027027027027
python-BitString,10.7714285714286
perl-BitString,13.2916666666667
perl-BitVector,15
